name, name_abr, price_value, market_cap, fully_distributed_market_cap, volume_24h, volume_slash_market_cap, circulating_supply 
"Bitcoin","BTC","$39,712.91","$745,693,007,688","$833,971,113,710","$30,521,326,244","0.04093","18,777,093.00 BTC"
"THETA","THETA","$6.55","$6,550,225,629","$6,550,225,629","$437,869,938","0.06685","1.00B THETA"
"Ethereum Classic","ETC","$52.23","$6,725,134,105","$11,003,902,743","$2,271,529,850","0.3378","128,771,199.55 ETC"
"Polygon","MATIC","$1.07","$6,874,382,424","0.7892","$10,683,239,598","$8,710,253,697","$581,126,720"
"Wrapped Bitcoin","WBTC","$39,731.14","$7,688,919,768","$7,688,919,768","$416,826,203","0.05421","193,523.75 WBTC"
"Litecoin","LTC","$142.00","$9,478,878,660","$11,928,009,311","$1,464,324,689","0.1545","66,752,614.52 LTC"
"Solana","SOL","$36.75","$10,018,964,282","$18,172,742,687","$586,226,581","0.05851","272,637,427.58 SOL"
"Polkadot","DOT","$19.01","$18,654,206,392","$20,854,668,691","$1,738,745,514","0.09321","981,040,347.34 DOT"
"Dogecoin","DOGE","$0.2007","$26,237,988,386","$26,237,988,386","$1,065,666,808","0.04062","130.73B DOGE"
"Binance USD","BUSD","$1.00","$11,967,062,181","$11,967,062,181","$5,191,425,551","0.4338","11.97B BUSD"
"Uniswap","UNI","$24.74","$14,532,273,951","3.25","$24,740,549,368","$4,472,653,666","$655,269,928"
"Bitcoin Cash","BCH","$540.87","$10,173,289,383","$11,358,226,189","$1,999,112,209","0.1965","18,809,193.75 BCH"
"USD Coin","USDC","$1.00","$27,650,105,487","$27,650,105,487","$3,110,548,261","0.1125","27.65B USDC"
"Chainlink","LINK","$23.91","$10,591,955,002","$23,909,089,337","$1,251,901,806","0.1182","443,009,553.92 LINK"
"XRP","XRP","$0.7255","$33,634,451,808","$72,545,461,247","$2,366,664,967","0.07036","46.36B XRP"
"Cardano","ADA","$1.38","$44,246,907,476","$62,064,762,590","$1,766,558,892","0.03993","32.08B ADA"
"Ravencoin","RVN","$0.07337","$686,989,410","$1,540,859,807","$53,488,313","0.07786","9.36B RVN"
"ICON","ICX","$1.07","$696,696,271","$852,550,126","$78,767,137","0.1131","654,128,690.82 ICX"
"Mdex","MDX","$1.19","$704,242,536","$1,186,399,217","$43,544,761","0.06183","593,596,594.95 MDX"
"SwissBorg","CHSB","$0.7099","$709,874,331","$709,874,331","$5,119,662","0.007212","1.00B CHSB"
"Perpetual Protocol","PERP","$16.32","$720,406,357","$2,448,747,210","$55,529,942","0.07708","44,129,076.71 PERP"
"Ankr","ANKR","$0.09474","$725,984,601","5.4","$947,401,976","$134,539,426","$47,623,810"
"Ontology","ONT","$0.8414","$738,701,874","$841,415,648","$129,616,777","0.1755","877,927,426.00 ONT"
"Horizen","ZEN","$64.96","$739,001,740","$1,364,119,029","$74,934,076","0.1014","11,376,600.00 ZEN"
"0x","ZRX","$0.8826","$746,096,865","$882,598,069","$136,501,932","0.183","845,341,601.79 ZRX"
"Siacoin","SC","$0.01582","$768,123,065","$768,123,065","$55,528,037","0.07229","48.54B SC"
"Qtum","QTUM","$8.13","$801,816,950","$876,909,791","$181,358,529","0.2262","98,589,197.73 QTUM"
"DigiByte","DGB","$0.05137","$747,584,409","$1,078,798,434","$26,232,880","0.03509","14.55B DGB"
"Celo","CELO","$2.79","$798,988,563","$2,786,820,394","$23,598,385","0.02954","286,702,568.00 CELO"
"Harmony","ONE","$0.07771","$810,170,317","$979,145,352","$21,202,029","0.02617","10.43B ONE"
"Voyager Token","VGX","$3.64","$808,115,044","$808,115,048","$13,426,822","0.01661","222,295,208.00 VGX"
"KuCoin Token","KCS","$10.33","$827,634,617","$1,757,344,824","$17,265,982","0.02086","80,118,638.00 KCS"
"BitShares","BTS","$0.04681","$140,181,358","$168,558,368","$17,839,302","0.1273","2.99B BTS"
"ZKSwap","ZKS","$0.7261","$143,362,688","$726,107,618","$10,549,264","0.07358","197,440,000.00 ZKS"
"Ampleforth","AMPL","$1.06","$143,031,261","$419,059,805","$5,222,598","0.03651","134,937,114.58 AMPL"
"RSK Infrastructure Framework","RIF","$0.1912","$144,079,450","$191,210,217","$2,978,378","0.02067","753,513,341.86 RIF"
"Syntropy","NOIA","$0.333","$144,459,467","$332,993,536","$1,405,301","0.009728","433,820,634.52 NOIA"
"aelf","ELF","$0.27","$147,008,474","$269,997,833","$63,618,212","0.4328","544,480,199.99 ELF"
"MCO","MCO","$9.24","$145,897,930","2.96","$291,796,047","$49,330,775","$663,740"
"Metadium","META","$0.12","$149,391,764","$239,903,853","$19,093,620","0.1278","1.25B META"
